seed1,team1,score1,seed2,team2,score2,round,year
1,Georgetown,68,16,Lehigh,43,64,1985
8,Temple,60,9,Virginia Tech,57,64,1985
5,SMU,85,12,Old Dominion,68,64,1985
4,Loyola Chicago,59,13,Iona,58,64,1985
6,Georgia,67,11,Wichita State,59,64,1985
3,Illinois,76,14,Northeastern,57,64,1985
7,Syracuse,70,10,DePaul,65,64,1985
2,Georgia Tech,65,15,Mercer,58,64,1985
1,Oklahoma,96,16,North Carolina A&T,83,64,1985
9,Illinois State,58,8,Southern California,55,64,1985
5,Louisiana Tech,78,12,Pittsburgh,54,64,1985
4,Ohio State,75,13,Iowa State,64,64,1985
11,Boston College,55,6,Texas Tech,53,64,1985
3,Duke,75,14,Pepperdine,62,64,1985
7,UAB,70,10,Michigan State,68,64,1985
2,Memphis State,67,15,Penn,55,64,1985
1,Michigan,59,16,Fairleigh Dickinson,55,64,1985
8,Villanova,51,9,Dayton,49,64,1985
5,Maryland,69,12,Miami (Ohio),68,64,1985
13,Navy,78,4,LSU,55,64,1985
11,Auburn,59,6,Purdue,58,64,1985
3,Kansas,49,14,Ohio,38,64,1985
7,Notre Dame,79,10,Oregon State,70,64,1985
2,North Carolina,76,15,Middle Tennessee State,57,64,1985
1,St. John's,83,16,Southern,59,64,1985
9,Arkansas,63,8,Iowa,54,64,1985
12,Kentucky,66,5,Washington,58,64,1985
4,UNLV,85,13,San Diego State,80,64,1985
11,UTEP,79,6,Tulsa,75,64,1985
3,NC State,65,14,Nevada,56,64,1985
7,Alabama,50,10,Arizona,41,64,1985
2,VCU,81,15,Marshall,65,64,1985
1,Georgetown,63,8,Temple,46,32,1985
4,Loyola Chicago,70,5,SMU,57,32,1985
3,Illinois,74,6,Georgia,58,32,1985
2,Georgia Tech,70,7,Syracuse,53,32,1985
1,Oklahoma,75,9,Illinois State,69,32,1985
5,Louisiana Tech,79,4,Ohio State,67,32,1985
11,Boston College,74,3,Duke,73,32,1985
2,Memphis State,67,7,UAB,66,32,1985
8,Villanova,59,1,Michigan,55,32,1985
5,Maryland,64,13,Navy,59,32,1985
11,Auburn,66,3,Kansas,64,32,1985
2,North Carolina,60,7,Notre Dame,58,32,1985
1,St. John's,68,9,Arkansas,65,32,1985
12,Kentucky,64,4,UNLV,61,32,1985
3,NC State,86,11,UTEP,73,32,1985
7,Alabama,63,2,VCU,59,32,1985
1,Georgetown,65,4,Loyola Chicago,53,16,1985
2,Georgia Tech,61,3,Illinois,53,16,1985
1,Oklahoma,86,5,Louisiana Tech,84,16,1985
2,Memphis State,59,11,Boston College,57,16,1985
8,Villanova,46,5,Maryland,43,16,1985
2,North Carolina,62,11,Auburn,56,16,1985
1,St. John's,86,12,Kentucky,70,16,1985
3,NC State,61,7,Alabama,55,16,1985
1,Georgetown,60,2,Georgia Tech,54,8,1985
2,Memphis State,63,1,Oklahoma,61,8,1985
8,Villanova,56,2,North Carolina,44,8,1985
1,St. John's,69,3,NC State,60,8,1985
1,Georgetown,77,1,St. John's,59,4,1985
8,Villanova,52,2,Memphis State,45,4,1985
8,Villanova,66,1,Georgetown,64,2,1985
1,Duke,85,16,Mississippi Valley State,78,64,1986
8,Old Dominion,72,9,West Virginia,64,64,1986
12,DePaul,72,5,Virginia,68,64,1986
4,Oklahoma,80,13,Northeastern,74,64,1986
6,Saint Joseph's,60,11,Richmond,59,64,1986
14,Cleveland State,83,3,Indiana,79,64,1986
7,Navy,87,10,Tulsa,68,64,1986
2,Syracuse,101,15,Brown,52,64,1986
1,Kansas,71,16,North Carolina A&T,46,64,1986
9,Temple,61,8,Jacksonville,50,64,1986
5,Michigan State,72,12,Washington,70,64,1986
4,Georgetown,70,13,Texas Tech,64,64,1986
6,N.C. State,66,11,Iowa,64,64,1986
14,Arkansas-Little Rock,90,3,Notre Dame,83,64,1986
7,Iowa State,81,10,Miami (OH),79,64,1986
2,Michigan,70,15,Akron,64,64,1986
1,Kentucky,75,16,Davidson,55,64,1986
8,Western Kentucky,67,9,Nebraska,59,64,1986
5,Alabama,97,12,Xavier,80,64,1986
4,Illinois,75,13,Fairfield,51,64,1986
11,LSU,94,6,Purdue,87,64,1986
3,Memphis State,95,14,Ball State,63,64,1986
10,Villanova,71,7,Virginia Tech,62,64,1986
2,Georgia Tech,68,15,Marist,53,64,1986
1,St. John's,83,16,Montana State,74,64,1986
8,Auburn,73,9,Arizona,63,64,1986
5,Maryland,69,12,Pepperdine,64,64,1986
4,UNLV,74,13,Northeast Louisiana,51,64,1986
6,UAB,66,11,Missouri,64,64,1986
3,North Carolina,84,14,Utah,72,64,1986
7,Bradley,83,10,UTEP,65,64,1986
2,Louisville,93,15,Drexel,73,64,1986
1,Duke,89,8,Old Dominion,61,32,1986
12,DePaul,74,4,Oklahoma,69,32,1986
14,Cleveland State,75,6,Saint Joseph's,69,32,1986
7,Navy,97,2,Syracuse,85,32,1986
1,Kansas,65,9,Temple,43,32,1986
5,Michigan State,80,4,Georgetown,68,32,1986
6,N.C. State,80,14,Arkansas-Little Rock,66,32,1986
7,Iowa State,72,2,Michigan,69,32,1986
1,Kentucky,71,8,Western Kentucky,64,32,1986
5,Alabama,58,4,Illinois,56,32,1986
11,LSU,83,3,Memphis State,81,32,1986
2,Georgia Tech,66,10,Villanova,61,32,1986
8,Auburn,81,1,St. John's,65,32,1986
4,UNLV,70,5,Maryland,64,32,1986
3,North Carolina,77,6,UAB,59,32,1986
2,Louisville,82,7,Bradley,68,32,1986
1,Duke,74,12,DePaul,67,16,1986
7,Navy,71,14,Cleveland State,70,16,1986
1,Kansas,96,5,Michigan State,86,16,1986
6,N.C. State,70,7,Iowa State,66,16,1986
1,Kentucky,68,5,Alabama,63,16,1986
11,LSU,70,2,Georgia Tech,64,16,1986
8,Auburn,70,4,UNLV,63,16,1986
2,Louisville,94,3,North Carolina,79,16,1986
1,Duke,71,7,Navy,50,8,1986
1,Kansas,75,6,N.C. State,67,8,1986
11,LSU,59,1,Kentucky,57,8,1986
2,Louisville,84,8,Auburn,76,8,1986
1,Duke,71,1,Kansas,67,4,1986
2,Louisville,88,11,LSU,77,4,1986
2,Louisville,72,1,Duke,69,2,1986
1,North Carolina,113,16,Penn,82,64,1987
2,Syracuse,79,15,Georgia Southern,73,64,1987
3,Purdue,104,14,Northeastern,95,64,1987
4,TCU,76,13,Marshall,60,64,1987
5,Notre Dame,84,12,Middle Tennessee State,71,64,1987
6,Florida,82,11,NC State,70,64,1987
10,Western Kentucky,64,7,West Virginia,62,64,1987
9,Michigan,97,8,Navy,82,64,1987
1,UNLV,95,16,Idaho State,70,64,1987
2,Iowa,99,15,Santa Clara,76,64,1987
3,Pittsburgh,93,14,Marist,68,64,1987
4,UCLA,92,13,Central Michigan,73,64,1987
12,Wyoming,64,5,Virginia,60,64,1987
6,Oklahoma,74,11,Tulsa,69,64,1987
7,UTEP,98,10,Arizona,91,64,1987
9,Kansas State,82,8,Georgia,79,64,1987
