seed1,team1,score1,seed2,team2,score2,round,year
1,Connecticut,79,16,Brown,60,64,1994
9,Auburn,60,8,Virginia Tech,51,64,1994
12,Western Kentucky,84,5,Rutgers,73,64,1994
4,Southern Mississippi,86,13,Tennessee State,72,64,1994
6,Old Dominion,56,11,Saint Joseph's,55,64,1994
3,North Carolina,101,14,Georgia Southern,53,64,1994
10,Minnesota,81,7,Notre Dame,76,64,1994
2,Vanderbilt,95,15,Grambling State,85,64,1994
1,Tennessee,111,16,North Carolina A&T,37,64,1994
9,Clemson,65,8,Florida International,64,64,1994
5,Ole Miss,83,12,Indiana,61,64,1994
4,Louisiana Tech,96,13,SMU,62,64,1994
6,SW Missouri State,75,11,Northern Illinois,56,64,1994
3,Virginia,72,14,Loyola (Md),47,64,1994
7,George Washington,74,10,UAB,66,64,1994
2,USC,77,15,Portland,62,64,1994
1,Penn State,94,16,Fordham,41,64,1994
9,Kansas,72,8,Stephen F. Austin,62,64,1994
5,Texas,75,12,Oklahoma State,67,64,1994
4,Seton Hall,70,13,Vermont,60,64,1994
6,Alabama,96,11,Oregon State,86,64,1994
3,Iowa,70,14,Mount St. Mary's,47,64,1994
10,Creighton,84,7,Bowling Green,73,64,1994
2,Texas Tech,75,15,Missouri,61,64,1994
1,Purdue,103,16,Radford,56,64,1994
8,Washington,89,9,Boise State,61,64,1994
5,San Diego State,81,12,Hawaiʻi,75,64,1994
13,Texas A&M,78,4,Florida,76,64,1994
6,Oregon,74,11,Santa Clara,59,64,1994
3,Colorado,77,14,Marquette,74,64,1994
7,Montana,77,10,UNLV,67,64,1994
2,Stanford,81,15,Green Bay,56,64,1994
1,Connecticut,81,9,Auburn,59,32,1994
4,Southern Mississippi,72,12,Western Kentucky,69,32,1994
3,North Carolina,63,6,Old Dominion,52,32,1994
2,Vanderbilt,98,10,Minnesota,72,32,1994
1,Tennessee,78,9,Clemson,66,32,1994
4,Louisiana Tech,82,5,Ole Miss,67,32,1994
3,Virginia,67,6,SW Missouri State,63,32,1994
2,USC,76,7,George Washington,72,32,1994
1,Penn State,85,9,Kansas,68,32,1994
4,Seton Hall,71,5,Texas,66,32,1994
6,Alabama,84,3,Iowa,78,32,1994
2,Texas Tech,75,10,Creighton,65,32,1994
1,Purdue,86,8,Washington,59,32,1994
13,Texas A&M,75,5,San Diego State,72,32,1994
3,Colorado,92,6,Oregon,71,32,1994
2,Stanford,66,7,Montana,62,32,1994
1,Connecticut,78,4,Southern Mississippi,64,16,1994
3,North Carolina,73,2,Vanderbilt,69,16,1994
4,Louisiana Tech,71,1,Tennessee,68,16,1994
2,USC,85,3,Virginia,66,16,1994
1,Penn State,64,4,Seton Hall,60,16,1994
6,Alabama,73,2,Texas Tech,68,16,1994
1,Purdue,82,13,Texas A&M,56,16,1994
2,Stanford,78,3,Colorado,62,16,1994
3,North Carolina,81,1,Connecticut,69,8,1994
4,Louisiana Tech,75,2,USC,66,8,1994
6,Alabama,96,1,Penn State,82,8,1994
1,Purdue,82,2,Stanford,65,8,1994
3,North Carolina,89,1,Purdue,74,4,1994
4,Louisiana Tech,69,6,Alabama,66,4,1994
3,North Carolina,60,4,Louisiana Tech,59,2,1994
1,Connecticut,105,16,Maine,75,64,1995
8,Virginia Tech,62,9,Saint Joseph's,52,64,1995
5,Duke,76,12,Oklahoma State,64,64,1995
4,Alabama,82,13,Mount St. Mary's,55,64,1995
6,Florida,89,11,Radford,49,64,1995
3,Virginia,71,14,Dartmouth,68,64,1995
7,Oklahoma,90,10,Loyola Maryland,55,64,1995
2,Louisiana Tech,90,15,Furman,52,64,1995
1,Vanderbilt,90,16,Northern Illinois,44,64,1995
8,Memphis,74,9,USC,72,64,1995
12,Montana,57,5,San Diego State,46,64,1995
4,Purdue,74,13,Portland,59,64,1995
6,Seton Hall,73,11,Stephen F. Austin,63,64,1995
3,North Carolina,89,14,Western Illinois,48,64,1995
10,SMU,96,7,Southern Miss,95,64,1995
2,Stanford,88,15,UC Irvine,55,64,1995
1,Tennessee,96,16,Florida A&M,59,64,1995
9,FIU,81,8,Old Dominion,76,64,1995
5,Oregon State,88,12,Tennessee State,75,64,1995
4,Western Kentucky,77,13,Toledo,63,64,1995
6,Arkansas,67,11,San Francisco,58,64,1995
3,Washington,73,14,Ohio,56,64,1995
10,Wisconsin,73,7,Kansas,72,64,1995
2,Texas Tech,87,15,Tulane,72,64,1995
1,Colorado,83,16,Holy Cross,49,64,1995
9,Southwest Missouri State,49,8,Utah,47,64,1995
5,Drake,87,12,Ole Miss,81,64,1995
4,George Washington,87,13,DePaul,79,64,1995
11,Louisville,67,6,Oregon,65,64,1995
3,Georgia,81,14,Indiana,64,64,1995
7,NC State,77,10,Marquette,62,64,1995
2,Penn State,75,15,Jackson State,62,64,1995
1,Connecticut,91,8,Virginia Tech,45,32,1995
4,Alabama,121,5,Duke,120,32,1995
3,Virginia,72,6,Florida,67,32,1995
2,Louisiana Tech,48,7,Oklahoma,36,32,1995
1,Vanderbilt,95,8,Memphis,68,32,1995
4,Purdue,62,12,Montana,51,32,1995
3,North Carolina,59,6,Seton Hall,45,32,1995
2,Stanford,95,10,SMU,73,32,1995
1,Tennessee,70,9,FIU,44,32,1995
4,Western Kentucky,85,5,Oregon State,78,32,1995
3,Washington,54,6,Arkansas,50,32,1995
2,Texas Tech,88,10,Wisconsin,65,32,1995
1,Colorado,78,9,Southwest Missouri State,34,32,1995
4,George Washington,96,5,Drake,93,32,1995
3,Georgia,81,11,Louisville,68,32,1995
7,NC State,76,2,Penn State,74,32,1995
1,Connecticut,87,4,Alabama,56,16,1995
3,Virginia,63,2,Louisiana Tech,62,16,1995
4,Purdue,67,1,Vanderbilt,66,16,1995
2,Stanford,81,3,North Carolina,71,16,1995
1,Tennessee,87,4,Western Kentucky,65,16,1995
2,Texas Tech,67,3,Washington,52,16,1995
1,Colorado,77,4,George Washington,61,16,1995
3,Georgia,98,7,NC State,79,16,1995
1,Connecticut,67,3,Virginia,63,8,1995
2,Stanford,69,4,Purdue,58,8,1995
1,Tennessee,80,2,Texas Tech,59,8,1995
3,Georgia,82,1,Colorado,79,8,1995
1,Connecticut,87,2,Stanford,60,4,1995
1,Tennessee,73,3,Georgia,51,4,1995
1,Connecticut,70,1,Tennessee,64,2,1995
1,Tennessee,97,16,Radford,56,64,1996
9,Ohio State,97,8,Memphis,75,64,1996
5,Texas,73,12,Southwest Missouri State,55,64,1996
4,Kansas,72,13,Middle Tennessee State,57,64,1996
6,George Washington,83,11,Maine,67,64,1996
3,Virginia,100,14,Manhattan,55,64,1996
10,Toledo,65,7,Ole Miss,53,64,1996
2,Old Dominion,83,15,Holy Cross,56,64,1996
1,Connecticut,94,16,Howard,63,64,1996
9,Michigan State,60,8,Massachusetts,57,64,1996
12,San Francisco,68,5,Florida,61,64,1996
4,Duke,85,13,James Madison,53,64,1996
6,Wisconsin,74,11,Oregon,60,64,1996
3,Vanderbilt,100,14,Harvard,83,64,1996
7,DePaul,96,10,SMU,82,64,1996
2,Iowa,72,15,Butler,67,64,1996
1,Louisiana Tech,98,16,UCF,41,64,1996
9,Southern Miss,74,8,Utah,66,64,1996
12,Notre Dame,73,5,Purdue,60,64,1996
4,Texas Tech,78,13,Portland,61,64,1996
11,Stephen F. Austin,67,6,Oregon State,65,64,1996
3,Clemson,79,14,Austin Peay,52,64,1996
7,Oklahoma State,90,10,Rhode Island,82,64,1996
2,Georgia,98,15,Saint Francis,66,64,1996
1,Stanford,82,16,Grambling State,43,64,1996
8,Colorado State,66,9,Nebraska,62,64,1996
5,NC State,77,12,Montana,68,64,1996
